SEQ,CREATE_DATE,HEAT_NO,GRADE,STEEL_NAME,SPEC_ABBSYM,CAST_SPEED,STRAND_NO,TOUCH_SETTING,REAL_CUT_LENGTH,EA_WGT,REAL_WEIGHT,SHIFT_ID,ITEM_CODE,STEEL_GRP
8184583,20230705042141,4G8152, , ,0AM3**,0.559,4,10070,10060,5971510,6010,D,BB300,일반강
8184584,20230705041802,4G8152, , ,0AM3**,0.56,5,11350,11300,6730550,6724,D,BB300,일반강
8184585,20230705042056,4G8152, , ,0AM3**,0.559,6,11350,11210,6730550,6766,D,BB300,일반강
8184603,20230705041933,4G8152, , ,0AM3**,0.56,1,11350,11380,6730550,6748,D,BB300,일반강
8184623,20230705044012,4G8152, , ,0AM3**,0.559,2,10260,10280,6084180,6094,D,BB300,일반강
8184643,20230705043926,4G8152, , ,0AM3**,0.559,3,10260,10140,6084180,6122,D,BB300,일반강
8184663,20230705043838,4G8152, , ,0AM3**,0.558,4,10070,10250,5971510,5992,D,BB300,일반강
8184664,20230705043542,4G8152, , ,0AM3**,0.553,6,10070,10120,5971510,6008,D,BB300,일반강
8184665,20230705043629,4G8152, , ,0AM3**,0.56,5,10070,10210,5971510,5980,D,BB300,일반강
8184683,20230705043716,4G8152, , ,0AM3**,0.56,1,10070,10290,5971510,5990,D,BB300,일반강
8184703,20230705045352,4G8152, , ,0AM3**,0.618,2,10260,10280,6084180,6114,D,BB300,일반강
8184704,20230705045305,4G8152, , ,0AM3**,0.62,3,10260,10140,6084180,6108,D,BB300,일반강
8184723,20230705045217,4G8152, , ,0AM3**,0.619,6,10260,10120,6084180,6102,D,BB300,일반강
8184724,20230705045515,4G8152, , ,0AM3**,0.619,5,10260,10210,6084180,6078,D,BB300,일반강
8184743,20230705045707,4G8152, , ,0AM3**,0.62,4,10260,10250,6084180,6128,D,BB300,일반강
8184763,20230705045754,4G8152, , ,0AM3**,0.618,1,10260,10280,6084180,6094,D,BB300,일반강
8184783,20230705050916,4G8153, , ,0AM3**,0.62,3,10260,10140,6084180,6108,D,BB300,일반강
8184803,20230705051004,4G8153, , ,0AM3**,0.62,2,10260,10280,6084180,6098,D,BB300,일반강
8184823,20230705050829,4G8153, , ,0AM3**,0.62,6,10260,10120,6084180,6100,D,BB300,일반강
8184824,20230705051126,4G8153, , ,0AM3**,0.62,5,10260,10210,6084180,6092,D,BB300,일반강
8184843,20230705051215,4G8153, , ,0AM3**,0.619,4,10260,10250,6084180,6114,D,BB300,일반강
8184863,20230705051300,4G8153, , ,0AM3**,0.619,1,10260,10280,6084180,6080,D,BB300,일반강
8184883,20230705052522,4G8153, , ,0AM3**,0.619,3,10260,10140,6084180,6094,D,BB300,일반강
8184903,20230705052434,4G8153, , ,0AM3**,0.617,6,10260,10140,6084180,6088,D,BB300,일반강
8184904,20230705052609,4G8153, , ,0AM3**,0.62,2,10260,10300,6084180,6100,D,BB300,일반강
8184905,20230705052733,4G8153, , ,0AM3**,0.618,5,10260,10210,6084180,6066,D,BB300,일반강
8184923,20230705052820,4G8153, , ,0AM3**,0.621,4,10260,10250,6084180,6104,D,BB300,일반강
8184943,20230705052906,4G8153, , ,0AM3**,0.619,1,10260,10280,6084180,6070,D,BB300,일반강
8184963,20230705054600,4G8153, , ,0AM3**,0.62,3,10350,10230,6137550,6190,D,BB300,일반강
8184983,20230705054423,4G8153, , ,0AM3**,0.619,5,10260,10300,6084180,6150,D,BB300,일반강
8184984,20230705054101,4G8153, , ,0AM3**,0.617,6,10260,10230,6084180,6184,D,BB300,일반강
8185003,20230705054149,4G8153, , ,0AM3**,0.619,2,10260,10390,6084180,6128,D,BB300,일반강
8185023,20230705054513,4G8153, , ,0AM3**,0.62,4,10260,10340,6084180,6138,D,BB300,일반강
8185043,20230705054238,4G8153, , ,0AM3**,0.62,1,10260,10370,6084180,6122,D,BB300,일반강
8185063,20230705055842,4G8154, , ,0AM3**,0.62,3,10350,10230,6137550,6248,D,BB300,일반강
8185083,20230705055706,4G8154, , ,0AM3**,0.618,6,10350,10150,6137550,6252,D,BB300,일반강
8185084,20230705055753,4G8154, , ,0AM3**,0.619,5,10350,10250,6137550,6228,D,BB300,일반강
8185103,20230705060052,4G8154, , ,0AM3**,0.621,2,10350,10340,6137550,6204,D,BB300,일반강
8185123,20230705060004,4G8154, , ,0AM3**,0.62,4,10350,10340,6137550,6252,D,BB300,일반강
8185124,20230705060137,4G8154, , ,0AM3**,0.618,1,10350,10330,6137550,6238,D,BB300,일반강
8185143,20230705061452,4G8154, , ,0AM3**,0.619,3,10350,10110,6137550,6200,D,BB300,일반강
8185163,20230705061317,4G8154, , ,0AM3**,0.621,6,10350,10060,6137550,6178,D,BB300,일반강
8185183,20230705061405,4G8154, , ,0AM3**,0.619,5,10350,10190,6137550,6186,D,BB300,일반강
8185203,20230705061701,4G8154, , ,0AM3**,0.619,2,10350,10300,6137550,6194,D,BB300,일반강
8185223,20230705061749,4G8154, , ,0AM3**,0.618,1,10350,10270,6137550,6204,D,BB300,일반강
8185224,20230705061613,4G8154, , ,0AM3**,0.619,4,10350,10260,6137550,6218,D,BB300,일반강
8185243,20230705063101,4G8154, , ,0AM3**,0.62,3,10350,10090,6137550,6168,D,BB300,일반강
