SEQ,HEAT_NO,STRAND_NO,MARKING_CODE,CUT_START_TIME,CUT_END_TIME,MOLD_START_TIME,MOLD_END_TIME,TORCH_LENGTH,CAST_LENGTH,CAST_SPEED,REAL_CUT_LENGTH,WEIGHT
8184363,4G8151,5,4G815151135003O,2023/07/05 03:28:45,2023/07/05 03:32:36,2023/07/05 02:37:40,2023/07/05 02:41:31,11350,100,0.558,11280,6746
8184343,4G8151,3,4G815131135003O,2023/07/05 03:28:21,2023/07/05 03:32:18,2023/07/05 02:37:22,2023/07/05 02:41:19,11350,99,0.559,11200,6744
8184423,4G8151,4,4G815141135003O,2023/07/05 03:30:33,2023/07/05 03:34:20,2023/07/05 02:39:39,2023/07/05 02:43:26,11350,100,0.56,11310,6754
8184403,4G8151,2,4G815121135003O,2023/07/05 03:29:31,2023/07/05 03:33:16,2023/07/05 02:38:32,2023/07/05 02:42:17,11350,100,0.559,11340,6736
8184384,4G8151,1,4G815111135003O,2023/07/05 03:28:59,2023/07/05 03:32:53,2023/07/05 02:37:21,2023/07/05 02:41:15,11350,99,0.552,11340,6728
8184464,4G8152,6,4G815261135001O,2023/07/05 03:48:22,2023/07/05 03:52:32,2023/07/05 02:57:28,2023/07/05 03:01:38,11350,111,0.56,11180,6756
8184463,4G8152,5,4G815251135001O,2023/07/05 03:48:34,2023/07/05 03:52:25,2023/07/05 02:57:29,2023/07/05 03:01:20,11350,111,0.558,11300,6746
8184443,4G8152,3,4G815231135001O,2023/07/05 03:48:02,2023/07/05 03:52:02,2023/07/05 02:57:03,2023/07/05 03:01:03,11350,110,0.559,11230,6766
8184523,4G8152,4,4G815241135001O,2023/07/05 03:50:32,2023/07/05 03:54:22,2023/07/05 02:59:38,2023/07/05 03:03:28,11350,111,0.56,10060,6770
8184503,4G8152,2,4G815221135001O,2023/07/05 03:49:29,2023/07/05 03:53:15,2023/07/05 02:58:19,2023/07/05 03:02:05,11350,111,0.557,11370,6760
8184483,4G8152,1,4G815211135001O,2023/07/05 03:48:49,2023/07/05 03:52:43,2023/07/05 02:57:50,2023/07/05 03:01:44,11350,110,0.559,11380,6756
8184584,4G8152,5,4G815251135002O,2023/07/05 04:08:23,2023/07/05 04:12:13,2023/07/05 03:17:29,2023/07/05 03:21:19,11350,122,0.56,11300,6724
8184563,4G8152,3,4G815231135002O,2023/07/05 04:07:44,2023/07/05 04:11:50,2023/07/05 03:16:45,2023/07/05 03:20:51,11350,122,0.559,11230,6768
8184603,4G8152,1,4G815211135002O,2023/07/05 04:08:43,2023/07/05 04:12:37,2023/07/05 03:17:49,2023/07/05 03:21:43,11350,121,0.56,11380,6748
8184585,4G8152,6,4G815261135002O,2023/07/05 04:08:11,2023/07/05 04:12:20,2023/07/05 03:17:12,2023/07/05 03:21:21,11350,122,0.559,11210,6766
8184583,4G8152,4,4G815241007002O,2023/07/05 04:08:17,2023/07/05 04:12:03,2023/07/05 03:17:18,2023/07/05 03:21:04,10070,121,0.559,10060,6010
8184543,4G8152,2,4G815221007002O,2023/07/05 04:07:13,2023/07/05 04:10:59,2023/07/05 03:16:19,2023/07/05 03:20:05,10070,121,0.56,10280,5996
8184664,4G8152,6,4G815261007003O,2023/07/05 04:25:41,2023/07/05 04:29:49,2023/07/05 03:34:09,2023/07/05 03:38:17,10070,132,0.553,10120,6008
8184665,4G8152,5,4G815251007003O,2023/07/05 04:25:57,2023/07/05 04:29:50,2023/07/05 03:35:03,2023/07/05 03:38:56,10070,132,0.56,10210,5980
8184683,4G8152,1,4G815211007003O,2023/07/05 04:26:22,2023/07/05 04:30:16,2023/07/05 03:35:28,2023/07/05 03:39:22,10070,131,0.56,10290,5990
8184663,4G8152,4,4G815241007003O,2023/07/05 04:26:01,2023/07/05 04:29:49,2023/07/05 03:34:56,2023/07/05 03:38:44,10070,131,0.558,10250,5992
